,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NBPF15,11.293280308063556,-2.6877259996448344,0.5164019528371057,-5.204716955229356,1.9429251422505958e-07,0.000573940087020826
PICK1,8.356863738574408,-2.8529023441547654,0.5865573543186291,-4.863807985953603,1.1514862467044705e-06,0.001700745186382503
PBX2,22.515784781148124,-1.7302409728379848,0.3621637848859235,-4.77750963803017,1.7747954614302443e-06,0.0017475819310216472
ITGAM,62.05382979279955,-1.6268590005412151,0.38623834041676636,-4.2120598353487395,2.5305248706215655e-05,0.016349694961399354
RTF1,22.286446439445598,-1.9470394356863725,0.464486613773457,-4.191809576316439,2.7673823563641424e-05,0.016349694961399354
KLF3,19.858681673487848,-1.744131207910561,0.4333983315517017,-4.024314541465873,5.7141503394617346e-05,0.016879600102769964
ATPAF2,10.971588858737968,-2.1658637190333434,0.5355247384254879,-4.0443765966839615,5.246253229709256e-05,0.016879600102769964
ZC3H7A,12.487059931603612,-2.0596553886115845,0.5087351346861553,-4.0485809769797205,5.152910586425578e-05,0.016879600102769964
MIS18BP1,24.083278316847164,-1.8276621480791941,0.4521343120419552,-4.042299156250718,5.292964377911915e-05,0.016879600102769964
MIEF1,10.707821041372643,-2.160580365733923,0.5342198192992181,-4.044365797899713,5.2464950266968444e-05,0.016879600102769964
TPR,26.36893866535188,-1.644819532745986,0.41490874146471285,-3.9642923090495423,7.361400532589209e-05,0.019768706521153204
NIPSNAP1,5.436931057637171,-2.5006592981674203,0.6420737644366898,-3.894660452855167,9.833638133048027e-05,0.02420713920418656
LGALS1,122.18732589715167,1.4498003744279873,0.3850563999285831,3.7651636869219254,0.00016644001124334866,0.024583189660642595
SMIM14,22.64492418773094,-1.4487288638885512,0.38422921724756376,-3.77048074133081,0.00016293337648224952,0.024583189660642595
TMF1,11.841706540116096,-1.775404619691502,0.4709598519253046,-3.7697578942951715,0.00016340598245822007,0.024583189660642595
ALDOA,41.286172942043905,2.0858747793893397,0.5436316519613396,3.83692666139623,0.0001245836571694027,0.024583189660642595
PIAS1,21.921344848224354,-1.527509604762199,0.4035212865538248,-3.785449877520769,0.00015343075791507342,0.024583189660642595
PACS1,19.20351640698039,-1.4707803314017374,0.3826868552318653,-3.84329984501456,0.00012139100676457998,0.024583189660642595
RWDD1,19.719473741108803,-1.5658608819182815,0.4113476931826608,-3.8066601754904066,0.0001408560786237033,0.024583189660642595
OAF,17.067341055995765,-1.650112618407137,0.43576977273569545,-3.7866614934027765,0.0001526848768907933,0.024583189660642595
SRGAP2,30.478960707100395,-1.7346823899141948,0.467718755446202,-3.7088151153128637,0.0002082314003454127,0.029291216981921386
MEPCE,10.005633561390738,-1.765193940995623,0.48478440681118085,-3.6411937269326202,0.00027137683012942986,0.036438507100106175
FOXO3,29.154962259907943,-1.499117012583194,0.4145271080419884,-3.616451092099253,0.0002986697169678943,0.038359580170572165
POU2F2,102.01491920342218,-1.33327785382042,0.3723087379649209,-3.581108144569097,0.00034213999013593015,0.04128818458998037
LTBR,36.807450672136255,-1.3794631234525334,0.3857991013417702,-3.575599628549938,0.00034942607134377427,0.04128818458998037
SIRT6,8.826128795343028,-1.8294804955632196,0.5138055432235283,-3.560647641295131,0.0003699412345905164,0.042031015653091745
CHMP1B,39.47788241169184,2.1189774162753996,0.6012543443144479,3.524261298588145,0.00042466524563119785,0.043257280537743394
RGS1,155.22438770799533,2.4032932669687326,0.6794001826095564,3.537375067721874,0.00040412532533466505,0.043257280537743394
MBP,16.763531627057503,-1.4570752781853282,0.4124023649755689,-3.5331399670116985,0.00041065499771418296,0.043257280537743394
CITED4,8.034995946418686,-2.1170209846820938,0.607711984618545,-3.4835926199660636,0.0004947319060169427,0.04840593346863435
CRBN,14.11346829142613,-1.6125704136727614,0.46384737367072076,-3.4765108205991577,0.0005079837296979231,0.04840593346863435
AHNAK,210.85761191363332,-1.0695248771433772,0.31017572872904664,-3.44812562067891,0.0005644914293738034,0.049692064922662524
NCOR1,27.745287052261084,-1.2448900077149625,0.3632719479568117,-3.426881747177912,0.0006105548919853582,0.049692064922662524
BCLAF1,26.204072421474706,-1.353155749288845,0.3938053664943165,-3.43610286811156,0.0005901468512137137,0.049692064922662524
SUGP2,12.991885974333547,-1.7461928077761582,0.5103357376948238,-3.4216549592699033,0.0006224124584084337,0.049692064922662524
MARCH7,21.17541020775953,-1.405550421110622,0.4103085252946141,-3.425593996862224,0.0006134566258571189,0.049692064922662524
SUSD3,10.869902563201183,-2.1591303279856384,0.6276206263975687,-3.440183826300714,0.0005813192050334346,0.049692064922662524
